,eax_count,num_sections,section_entropy_text,section_entropy_rdata,section_entropy_data,section_entropy_rsrc,section_entropy_reloc,section_entropy_PX0,section_entropy_PX1,label
0,9090,4,6.64196639655477,5.657239275273412,3.994682603530589,4.697759551512376,,,,1
1,1154,3,4.304889544656029,,,4.433999938409193,0.08153941234324169,,,1
2,5306,5,5.667731229310088,5.339874539693294,4.8530630411703015,4.577962727113861,2.4175514646400598,,,1
3,411,3,,,,5.865482601207156,,0.0,7.999601402707654,1
